id;id_catena;nome;id_comune;indirizzo;id_capo_equipe
103;44;QUI CONVIENE;83038;C.da Vigna Vecchia;95
104;141;MAXISCONTO;83038;;96
105;87;IPERSIDIS;83032;Via C. Valeria;97
106;188;SIDIS;83032;Via Naxos 157   98135;98
107;204;SPACCIO ALIMENTARE;83032; SS.114 C.da Pallio via C. Valeria;99
108;44;QUI CONVIENE;83032;Via Chianchitta c.da Sciacca;100
109;6; HARD DISCOUNT;83097;Via Francavilla, 10  Trappitello;101
110;195;SMA;83097;Via Apollo Arcageta n.19;102
111;106;SIDIS;83066;Via Giovanni XXIII° ;103
112;9;ALIS;83066;Via Kennedy;104
113;92;DESPAR;83066;Corso Matteotti;105
114;131;EUROSPIN                           ;83066;Via Giovanni XXIII° ;106
115;7;SPACCIO ALIMENTAR;83066;Via Giovanni XXIII° ;107
116;176;CONAD                              ;83066;Via Casa Nuove Russo;108
117;7;SPACCIO ALIMENTAR;83066;Largo J. Palak;109
118;153;ARD Discount;83033;Via Liguria 6/A;110
119;176;CONAD;83033;Via Sicilia, 9 ;111
120;103;C.C. LA FILANDA;83007;SS. 113;112
121;92;EUROSPAR;83009;c.da S. Lucia ;
122;205;SIGMA;83009;Consolare Antica, 279;113
123;210;SPESA MIA;83063;via Matteotti 13;114
124;60;SUPER SPESA MIA;83010;Nazionale;115
125;206;CONAD;83108;Via  Benedetto Russo;116
126;79;EURO ARD;83084;Via V. Zito 10;117
127;196;SIMPLY;83084;Via Rossini;118
128;155;P & C  s.r.l       SUPERMERCATO PANTO';83084;San Martino 69/A;119
129;172;IL MERCATINO;83084;Via Medici 280 ;120
130;174;MERCATI ALIMENTARI;83084;Via Asmara 2 ;121
131;24;ALIS Superm. Scurria;83084;Via Pirandello 21;122
132;127;MD Discount;83084;Via Coenz. 55;123
133;112;CARREFOUR;83107;C.da Barranca;124
134;168;RAINERI RISPARMI;83107;P.E. Cunial;125
135;10;ALIS;83019;Via Sicilia 4;126
136;181;SPACCIO ALIMENTARE;83072;via Umberto I;127
137;129;MARECHIARO;83072;Lungomare         C. Colombo;128
138;100;CONAD;83072;Via Torrente Allume 13;129
139;177;SPACCIO ALIMENTARE;83048;Via Catania 260 fronte pal Palano;130
140;2; EUROSPIN;86009;C.da Santa Lucia;
141;110;ENNA MERCATO di Arena;86009;C.da Santa Lucia;
142;54;conad;86009;via leonardo da vinci;
143;147;mercati alimentari;86009;c.da scifitello;
144;110;SIDIS;86009;via regione siciliana;
145;77;esseri basile;86009;via 4 novembre;
146;82;eurospin;86009;contrada misericordia;
147;110;SIDIS;86009;via antonello da messina;
148;110;SIDIS;86019;via mazzini;
149;110;SIDIS;86019;via 25 aprile;
150;72;e.m. discount;86014;c.da soalzzo;
151;192;sisa;86014;via lo giudice;
152;82;eurospin;86014;c.da santa croce;
153;110;supersidis;86014;via mons alessi;
154;109;ard discount;86014;c.da basile;
155;54;conad;86014;via muscarà;
156;82;eurospin;86004;via gen. Cannada;
157;110;sidis;86004;via della pace;
158;109;ard discount;86004;via signore ritrovato;
159;35;CARREFOUR EXPRESS;86004;;
160;26;happy market;86007;via g.leopardi;
161;62;despar;86007;a g.garibaldi;
162;59;crai;86007;p.zza duomo;
163;80;euromarket;86007;p.zza s.maria Maddalena;
164;152;minimarket;86007;via salso;
165;152;minimarket;86007;piazza collegio;
166;158;pam;86016;via palermo 89;
167;62;eurospar;86016;ia garibaldi;
168;127;MD Discount;86016;largo della regione;
169;109;ard discount;89001;c.da Balate;131
170;19;Ard Più;89001;Axquasanta;132
171;82;Eurospin;89001;Contrada Scardina;133
172;110;Famila;89001;via Marina di Ponente;134
173;110;Sidis Superstore;89001;c.da Monte Tauro;133
174;192;Sisa;89001;via Marina di Ponente;134
175;30;Spaccio Alimentare (ex Simply e SMA);89001;c.da Cozzo delle Forche;135
176;109;ard discount;89002;via Fratelli Bandiera? Largo Gottardo (stazione);136
177;22;Artale;89002;piazza Crispi 58;137
178;22;Artale;89002;via Siracusa;136
179;54;Conad;89002;Circonvallazione;136
180;58;Coop;89002;C.so Vittorio Emanuele;136
181;76;Ergon Interspar;89002;C.da Risicone;137
182;83;Eurospin ;89002;via Siracusa 109;136
183;101;Gambuzza SISA (ex Italmec);89002;via Gen. Dalla Chiesa 1 (via La Marmora) (via Siracusa);136
184;50;Conad F.lli Zocco;89005;v.Vitt.Emanuele 432/c;138
185;56;Contè Megalimentari;89005;via Canale;138
186;97;Fortè ;89005;via Solferino;138
187;150;Metà;89005;via Canale 62 B;138
188;14;ARD;89006;via Togliatti 14 c.da Santuzzi;
189;49;Conad (ex Standa);89006;c.da Marcellino;
190;82;Eurospin;89006;c.da Madonna Marcellino;
191;16;ARD [ex Selex Super A & O (Abate Superstore)(Interdis)];89009;Corso Di Vittorio 36;139
192;73;Ergon Ard;89009;Via F.lli Amato 10;140
193;83;Eurospin ;89009;via Colli Albani ang. Via Einaudi;141
194;140;Maxi Sconto [ex PAM];89009;via Matteotti 188;142
195;161;Penny Market;89009;;143
196;190;SIGMA [ex Mercati Alimentari ex Hard & Brand];89009;via Turati-c.da Taverna;144
197;192;SISA;89009;via Foscolo;145
198;161;Penny Market;89010;;
199;14;ARD;89011;via Gaeta 14;
200;49;Conad (ex Standa);89011;via Milazzo;
201;52;Conad Gulizia;89011;;
202;122;Ipersimply [ex Cityper];89011;via Etnea;
203;126;Lidl;89011;via Francofonte;
204;139;Maxi Sconto (ex Sisa);89011;via Federico II di Svevia, 9;
205;161;Penny Market;89011;viale Regione Siciliana;
206;182;SI più;89012;via Kennedy;146
207;161;Penny Market;89012;c.da Palombara;147
208;39;CGS Supermercati;89013;via Toscanini;148
